date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi
2007-07-11,24372,4617,19755,19893,38615,-18722,667,5677,-5010,44932,48909,-3977
2007-07-12,26030,4393,21637,20503,36074,-15571,631,5953,-5322,47164,46420,744
2007-07-13,28748,5282,23466,22192,38343,-16151,599,6088,-5489,51539,49713,1826
2007-07-16,25983,5394,20589,24241,42345,-18104,624,5991,-5367,50848,53730,-2882
2007-07-17,28092,5520,22572,28624,48625,-20001,639,6167,-5528,57355,60312,-2957
2007-07-18,26368,5878,20490,31057,53283,-22226,760,6190,-5430,58185,65351,-7166
2007-07-19,7562,3998,3564,24168,28768,-4600,656,5598,-4942,32386,38364,-5978
2007-07-20,8883,4053,4830,29191,29897,-706,634,5194,-4560,38708,39144,-436
2007-07-23,10337,3888,6449,27455,33399,-5944,680,5154,-4474,38472,42441,-3969
2007-07-24,12502,3863,8639,27469,34201,-6732,704,4843,-4139,40675,42907,-2232
2007-07-25,14710,4457,10253,27551,39962,-12411,771,4884,-4113,43032,49303,-6271
2007-07-26,12057,4672,7385,27854,45267,-17413,834,6112,-5278,40745,56051,-15306
2007-07-27,9924,6595,3329,24701,49811,-25110,1064,4681,-3617,35689,61087,-25398
2007-07-30,6860,6322,538,21584,45271,-23687,856,4626,-3770,29300,56219,-26919
2007-07-31,7018,3905,3113,21813,36934,-15121,854,4655,-3801,29685,45494,-15809
2007-08-01,5591,9164,-3573,21242,38181,-16939,1048,4390,-3342,27881,51735,-23854
2007-08-02,4887,5724,-837,21884,35158,-13274,1021,4248,-3227,27792,45130,-17338
2007-08-03,4872,6103,-1231,22634,33141,-10507,904,4225,-3321,28410,43469,-15059
2007-08-06,5436,5113,323,22630,35280,-12650,909,4097,-3188,28975,44490,-15515
2007-08-07,5048,5677,-629,22338,34387,-12049,911,4233,-3322,28297,44297,-16000
2007-08-08,6699,4352,2347,21657,30933,-9276,879,3828,-2949,29235,39113,-9878
2007-08-09,5834,4036,1798,22356,28117,-5761,915,3912,-2997,29105,36065,-6960
2007-08-10,4534,5248,-714,23170,30954,-7784,923,3537,-2614,28627,39739,-11112
2007-08-13,4384,5219,-835,24202,30573,-6371,843,3686,-2843,29429,39478,-10049
2007-08-14,4201,7185,-2984,26737,35482,-8745,861,3437,-2576,31799,46104,-14305
2007-08-15,3998,12420,-8422,31075,39669,-8594,847,3667,-2820,35920,55756,-19836
2007-08-16,1609,7491,-5882,14638,27771,-13133,973,3349,-2376,17220,38611,-21391
2007-08-17,1851,7201,-5350,13358,30077,-16719,1351,3193,-1842,16560,40471,-23911
2007-08-20,2943,5206,-2263,15574,26260,-10686,1346,2948,-1602,19863,34414,-14551
2007-08-21,3243,4602,-1359,16691,25981,-9290,1022,3489,-2467,20956,34072,-13116
2007-08-22,3570,4175,-605,16791,25861,-9070,878,3530,-2652,21239,33566,-12327
2007-08-23,3501,3947,-446,17562,23473,-5911,869,3877,-3008,21932,31297,-9365
2007-08-24,2907,4305,-1398,18056,21686,-3630,884,4365,-3481,21847,30356,-8509
2007-08-27,2655,4715,-2060,19956,20079,-123,877,4724,-3847,23488,29518,-6030
2007-08-28,3146,5298,-2152,21069,20381,688,877,5196,-4319,25092,30875,-5783
2007-08-29,3401,4939,-1538,20190,22719,-2529,922,5005,-4083,24513,32663,-8150
2007-08-30,4202,4511,-309,20355,21220,-865,870,5187,-4317,25427,30918,-5491
2007-08-31,6328,3512,2816,22399,21579,820,879,4835,-3956,29606,29926,-320
2007-09-03,7066,3049,4017,22652,23764,-1112,856,4390,-3534,30574,31203,-629
2007-09-04,5837,3095,2742,22349,22782,-433,704,4449,-3745,28890,30326,-1436
2007-09-05,5292,3275,2017,22417,23722,-1305,763,4485,-3722,28472,31482,-3010
2007-09-06,7031,2596,4435,23212,25065,-1853,781,4174,-3393,31024,31835,-811
2007-09-07,6764,2467,4297,24029,25690,-1661,815,3845,-3030,31608,32002,-394
2007-09-10,5910,3039,2871,23895,25603,-1708,825,3566,-2741,30630,32208,-1578
2007-09-11,6148,3487,2661,25135,25234,-99,769,3585,-2816,32052,32306,-254
2007-09-12,5202,3470,1732,25668,25487,181,786,3563,-2777,31656,32520,-864
2007-09-13,4508,3542,966,26592,25580,1012,730,3817,-3087,31830,32939,-1109
2007-09-14,6385,2478,3907,26672,27310,-638,753,3446,-2693,33810,33234,576
2007-09-17,4898,2099,2799,26685,30328,-3643,756,3557,-2801,32339,35984,-3645
2007-09-19,6624,3305,3319,27928,30236,-2308,718,4141,-3423,35270,37682,-2412
2007-09-20,3213,2741,472,13863,12791,1072,693,3855,-3162,17769,19387,-1618
2007-09-21,4278,2505,1773,14242,13837,405,687,3957,-3270,19207,20299,-1092
2007-09-26,5186,2343,2843,15126,14997,129,742,3479,-2737,21054,20819,235
2007-09-27,6148,2361,3787,16203,14877,1326,744,3242,-2498,23095,20480,2615
2007-09-28,5746,3555,2191,16326,14602,1724,787,3383,-2596,22859,21540,1319
2007-09-29,6412,2863,3549,16351,14422,1929,737,3346,-2609,23500,20631,2869
2007-10-01,6569,2537,4032,15951,14481,1470,691,3352,-2661,23211,20370,2841
2007-10-02,7649,2589,5060,14571,13437,1134,721,3232,-2511,22941,19258,3683
2007-10-03,8226,2088,6138,13783,13711,72,721,3515,-2794,22730,19314,3416
2007-10-04,8631,2075,6556,12039,19053,-7014,672,3385,-2713,21342,24513,-3171
2007-10-05,7806,2087,5719,12422,20702,-8280,673,3390,-2717,20901,26179,-5278
2007-10-08,9622,1980,7642,11896,19857,-7961,723,3301,-2578,22241,25138,-2897
2007-10-09,6687,1898,4789,12235,20098,-7863,702,3339,-2637,19624,25335,-5711
2007-10-11,8435,2029,6406,11094,19314,-8220,702,3328,-2626,20231,24671,-4440
2007-10-12,4097,2745,1352,13658,20671,-7013,800,3230,-2430,18555,26646,-8091
2007-10-15,3966,3991,-25,16735,21202,-4467,831,3216,-2385,21532,28409,-6877
2007-10-16,5214,3962,1252,19699,24454,-4755,837,3108,-2271,25750,31524,-5774
2007-10-17,5284,4033,1251,20736,25066,-4330,836,3014,-2178,26856,32113,-5257
2007-10-18,4020,2801,1219,13814,17040,-3226,763,2979,-2216,18597,22820,-4223
2007-10-19,3662,2887,775,13467,16502,-3035,768,2905,-2137,17897,22294,-4397
2007-10-22,2962,4804,-1842,14631,15283,-652,766,3108,-2342,18359,23195,-4836
2007-10-23,3589,3823,-234,15810,15543,267,312,3127,-2815,19711,22493,-2782
2007-10-24,3150,4608,-1458,16281,15279,1002,330,3328,-2998,19761,23215,-3454
2007-10-25,2822,4069,-1247,16189,14694,1495,320,3240,-2920,19331,22003,-2672
2007-10-26,2897,2994,-97,16033,14875,1158,349,3176,-2827,19279,21045,-1766
2007-10-29,6467,2215,4252,12493,16132,-3639,308,3207,-2899,19268,21554,-2286
2007-10-30,5730,2576,3154,13651,17462,-3811,331,3130,-2799,19712,23168,-3456
2007-10-31,5902,2625,3277,11963,19910,-7947,310,3051,-2741,18175,25586,-7411
2007-11-01,4508,3086,1422,14887,20687,-5800,293,2838,-2545,19688,26611,-6923
2007-11-02,2972,5316,-2344,15055,22442,-7387,364,3591,-3227,18391,31349,-12958
2007-11-05,3143,6245,-3102,16482,21795,-5313,346,4593,-4247,19971,32633,-12662
2007-11-06,2743,7485,-4742,17840,21802,-3962,238,4879,-4641,20821,34166,-13345
2007-11-07,2712,8740,-6028,19432,19393,39,301,4835,-4534,22445,32968,-10523
2007-11-08,2827,11690,-8863,21002,18726,2276,355,5222,-4867,24184,35638,-11454
2007-11-09,3326,11142,-7816,20211,19125,1086,299,5478,-5179,23836,35745,-11909
2007-11-12,2623,14188,-11565,20603,18593,2010,459,5353,-4894,23685,38134,-14449
2007-11-13,2691,13681,-10990,21260,19568,1692,405,5557,-5152,24356,38806,-14450
2007-11-14,3228,11654,-8426,20884,18704,2180,362,5481,-5119,24474,35839,-11365
2007-11-15,2414,12562,-10148,20951,18436,2515,489,5615,-5126,23854,36613,-12759
2007-11-16,1890,12282,-10392,22163,17881,4282,394,5682,-5288,24447,35845,-11398
2007-11-19,1284,14490,-13206,25945,20210,5735,415,5730,-5315,27644,40430,-12786
2007-11-20,1996,15501,-13505,30836,23003,7833,415,6058,-5643,33247,44562,-11315
2007-11-21,2664,19326,-16662,36310,27821,8489,389,5685,-5296,39363,52832,-13469
2007-11-22,2288,3789,-1501,13025,20496,-7471,260,5440,-5180,15573,29725,-14152
2007-11-23,2222,4345,-2123,12887,21125,-8238,300,5630,-5330,15409,31100,-15691
2007-11-26,3346,2955,391,13956,20960,-7004,278,5715,-5437,17580,29630,-12050
2007-11-27,2508,4305,-1797,14283,23318,-9035,283,5506,-5223,17074,33129,-16055
2007-11-28,2537,4498,-1961,13064,21949,-8885,430,5753,-5323,16031,32200,-16169
2007-11-29,2980,3650,-670,14095,19752,-5657,293,6170,-5877,17368,29572,-12204
2007-11-30,3247,4108,-861,17432,19248,-1816,313,5079,-4766,20992,28435,-7443
2007-12-03,3220,3855,-635,16945,18819,-1874,305,5060,-4755,20470,27734,-7264
2007-12-04,3732,3411,321,16835,20554,-3719,324,4984,-4660,20891,28949,-8058
2007-12-05,5083,2688,2395,16122,20093,-3971,172,5132,-4960,21377,27913,-6536
2007-12-06,3994,2877,1117,16218,19558,-3340,172,4335,-4163,20384,26770,-6386
2007-12-07,3707,2867,840,16202,19010,-2808,171,4615,-4444,20080,26492,-6412
2007-12-10,2624,3176,-552,15920,19867,-3947,196,4918,-4722,18740,27961,-9221
2007-12-11,2986,3286,-300,16621,19333,-2712,176,5304,-5128,19783,27923,-8140
2007-12-12,1604,4491,-2887,16443,19951,-3508,243,5297,-5054,18290,29739,-11449
2007-12-13,591,7042,-6451,15739,19963,-4224,278,6027,-5749,16608,33032,-16424
2007-12-14,1019,7975,-6956,16650,17568,-918,266,6370,-6104,17935,31913,-13978
2007-12-17,915,10754,-9839,22174,19297,2877,284,6312,-6028,23373,36363,-12990
2007-12-18,1502,12019,-10517,27069,22496,4573,277,5620,-5343,28848,40135,-11287
2007-12-19,2454,10124,-7670,27674,19823,7851,227,4900,-4673,30355,34847,-4492
2007-12-20,1780,4812,-3032,16073,13231,2842,270,5510,-5240,18123,23553,-5430
2007-12-21,1677,4979,-3302,17180,13624,3556,247,5272,-5025,19104,23875,-4771
2007-12-24,1610,4544,-2934,17723,12942,4781,219,5246,-5027,19552,22732,-3180
2007-12-25,1929,4351,-2422,17806,12972,4834,208,5096,-4888,19943,22419,-2476
2007-12-26,2101,4337,-2236,17902,13125,4777,200,5753,-5553,20203,23215,-3012
2007-12-27,2887,4335,-1448,18716,13253,5463,316,3841,-3525,21919,21429,490
2007-12-28,3298,3512,-214,17824,12116,5708,229,3854,-3625,21351,19482,1869
2007-12-31,4345,2981,1364,17673,13014,4659,233,3741,-3508,22251,19736,2515
2008-01-02,3424,2750,674,18631,14720,3911,215,4557,-4342,22270,22027,243
2008-01-03,3118,3574,-456,19328,17051,2277,281,5580,-5299,22727,26205,-3478
2008-01-04,3663,3749,-86,20478,17585,2893,334,4804,-4470,24475,26138,-1663
2008-01-07,2591,6967,-4376,24237,19639,4598,322,7349,-7027,27150,33955,-6805
2008-01-08,2365,8029,-5664,27563,19684,7879,318,7036,-6718,30246,34749,-4503
2008-01-09,4909,6453,-1544,27060,18926,8134,269,6704,-6435,32238,32083,155
2008-01-10,4025,6319,-2294,25167,16445,8722,270,6323,-6053,29462,29087,375
2008-01-11,3558,5590,-2032,24393,18508,5885,270,6851,-6581,28221,30949,-2728
2008-01-14,4493,5887,-1394,39804,22327,17477,181,6769,-6588,44478,34983,9495
2008-01-15,8647,4180,4467,36877,24981,11896,199,5092,-4893,45723,34253,11470
2008-01-16,5511,4889,622,32344,28982,3362,231,5073,-4842,38086,38944,-858
2008-01-17,4520,3027,1493,19055,23990,-4935,226,7027,-6801,23801,34044,-10243
2008-01-18,5464,2937,2527,18978,22799,-3821,256,6141,-5885,24698,31877,-7179
2008-01-21,4753,3744,1009,18795,21682,-2887,276,5814,-5538,23824,31240,-7416
2008-01-22,4204,7552,-3348,20785,20793,-8,383,6270,-5887,25372,34615,-9243
2008-01-23,4513,8018,-3505,22463,20380,2083,216,7349,-7133,27192,35747,-8555
2008-01-24,4284,7666,-3382,21846,17430,4416,163,6911,-6748,26293,32007,-5714
2008-01-25,5214,6759,-1545,21693,13920,7773,166,6896,-6730,27073,27575,-502
2008-01-28,4376,6918,-2542,21939,15865,6074,215,7372,-7157,26530,30155,-3625
2008-01-29,6092,6664,-572,21086,16567,4519,221,8040,-7819,27399,31271,-3872
2008-01-30,8206,6662,1544,21522,16045,5477,221,8020,-7799,29949,30727,-778
2008-01-31,5451,7314,-1863,23817,16459,7358,222,8468,-8246,29490,32241,-2751
2008-02-01,6373,6961,-588,25089,15271,9818,257,8305,-8048,31719,30537,1182
2008-02-12,4530,7280,-2750,26383,15072,11311,279,8466,-8187,31192,30818,374
2008-02-13,4125,7802,-3677,27657,14518,13139,270,8762,-8492,32052,31082,970
2008-02-14,6624,6374,250,27950,12879,15071,217,7826,-7609,34791,27079,7712
2008-02-15,5987,6165,-178,26613,13938,12675,236,6857,-6621,32836,26960,5876
2008-02-18,5294,5131,163,28068,18701,9367,187,6304,-6117,33549,30136,3413
2008-02-19,6232,4330,1902,28681,20532,8149,228,6486,-6258,35141,31348,3793
2008-02-20,5024,4709,315,26819,20869,5950,286,7036,-6750,32129,32614,-485
2008-02-21,4260,3511,749,24195,14585,9610,276,6843,-6567,28731,24939,3792
2008-02-22,4483,3575,908,25364,15042,10322,293,6586,-6293,30140,25203,4937
2008-02-25,5976,3242,2734,27076,16103,10973,299,6314,-6015,33351,25659,7692
2008-02-26,6138,2822,3316,28246,16141,12105,307,6688,-6381,34691,25651,9040
2008-02-27,5914,2616,3298,31518,16628,14890,225,5811,-5586,37657,25055,12602
2008-02-29,6357,2329,4028,29152,16185,12967,216,5766,-5550,35725,24280,11445
2008-03-03,4385,3560,825,32351,16298,16053,204,5576,-5372,36940,25434,11506
2008-03-04,6204,3691,2513,34518,18575,15943,166,5264,-5098,40888,27530,13358
2008-03-05,7038,4145,2893,33341,20307,13034,167,5597,-5430,40546,30049,10497
2008-03-06,8404,3348,5056,34902,21971,12931,172,5457,-5285,43478,30776,12702
2008-03-07,7123,3242,3881,32442,24239,8203,213,5598,-5385,39778,33079,6699
2008-03-10,5826,4027,1799,30100,25712,4388,239,6464,-6225,36165,36203,-38
2008-03-11,6432,4169,2263,31545,27516,4029,261,6994,-6733,38238,38679,-441
2008-03-12,7439,4071,3368,31728,26915,4813,259,7548,-7289,39426,38534,892
2008-03-13,4068,5224,-1156,33278,28002,5276,261,7375,-7114,37607,40601,-2994
2008-03-14,3301,5000,-1699,32592,26921,5671,301,7644,-7343,36194,39565,-3371
2008-03-17,3127,6224,-3097,31033,24794,6239,290,6565,-6275,34450,37583,-3133
2008-03-18,4032,5524,-1492,27610,24550,3060,284,6493,-6209,31926,36567,-4641
2008-03-19,6030,3984,2046,28033,27647,386,302,6617,-6315,34365,38248,-3883
2008-03-20,4877,2990,1887,21294,21520,-226,291,4897,-4606,26462,29407,-2945
2008-03-21,5166,2806,2360,22248,24019,-1771,405,4563,-4158,27819,31388,-3569
2008-03-24,7181,2902,4279,26106,30436,-4330,423,6835,-6412,33710,40173,-6463
2008-03-25,8286,2909,5377,26074,36257,-10183,421,6136,-5715,34781,45302,-10521
2008-03-26,7468,3558,3910,24274,36465,-12191,486,5459,-4973,32228,45482,-13254
2008-03-27,7611,3858,3753,21841,41209,-19368,491,4849,-4358,29943,49916,-19973
2008-03-28,7289,4245,3044,22517,40854,-18337,404,4845,-4441,30210,49944,-19734
2008-03-31,6502,3649,2853,22866,40551,-17685,429,4171,-3742,29797,48371,-18574
2008-04-01,4790,3321,1469,23468,40912,-17444,357,4086,-3729,28615,48319,-19704
2008-04-02,5652,2949,2703,28140,40002,-11862,379,4093,-3714,34171,47044,-12873
2008-04-03,4751,2849,1902,29051,39450,-10399,389,3740,-3351,34191,46039,-11848
2008-04-07,6174,2853,3321,28953,39200,-10247,373,3619,-3246,35500,45672,-10172
2008-04-08,5970,2747,3223,28497,38027,-9530,388,3741,-3353,34855,44515,-9660
2008-04-09,5381,3136,2245,30570,36806,-6236,374,4178,-3804,36325,44120,-7795
2008-04-10,6994,3135,3859,30800,37000,-6200,378,4223,-3845,38172,44358,-6186
2008-04-11,7769,3405,4364,32141,35697,-3556,410,3853,-3443,40320,42955,-2635
2008-04-14,7949,3138,4811,34686,38953,-4267,448,4392,-3944,43083,46483,-3400
2008-04-15,8643,2876,5767,31234,36600,-5366,451,4200,-3749,40328,43676,-3348
2008-04-16,12017,2784,9233,35603,40919,-5316,408,4088,-3680,48028,47791,237
2008-04-17,5866,2131,3735,29920,32075,-2155,369,3350,-2981,36155,37556,-1401
2008-04-18,6934,2142,4792,28820,32582,-3762,372,3342,-2970,36126,38066,-1940
2008-04-21,6850,2769,4081,29147,35186,-6039,374,3328,-2954,36371,41283,-4912
2008-04-22,6660,3331,3329,28689,35871,-7182,261,3253,-2992,35610,42455,-6845
2008-04-23,6968,3286,3682,28352,39027,-10675,280,3454,-3174,35600,45767,-10167
2008-04-24,6060,3021,3039,29542,38203,-8661,288,3345,-3057,35890,44569,-8679
2008-04-25,6784,3760,3024,29788,38016,-8228,236,3543,-3307,36808,45319,-8511
2008-04-28,9091,4275,4816,30473,36881,-6408,240,3559,-3319,39804,44715,-4911
2008-04-29,7462,4715,2747,29985,39049,-9064,272,3864,-3592,37719,47628,-9909
2008-04-30,7121,4678,2443,30623,39417,-8794,280,4184,-3904,38024,48279,-10255
2008-05-02,7994,4086,3908,31780,39355,-7575,361,4166,-3805,40135,47607,-7472
2008-05-05,4883,5344,-461,31216,40588,-9372,581,4191,-3610,36680,50123,-13443
2008-05-06,5373,5232,141,30213,41304,-11091,631,4961,-4330,36217,51497,-15280
2008-05-07,5832,4538,1294,30474,40169,-9695,754,4847,-4093,37060,49554,-12494
2008-05-08,5066,4421,645,27884,39258,-11374,881,5317,-4436,33831,48996,-15165
2008-05-09,2237,5103,-2866,27369,38235,-10866,910,5458,-4548,30516,48796,-18280
2008-05-12,3707,4321,-614,27499,37143,-9644,891,5720,-4829,32097,47184,-15087
2008-05-13,6610,4319,2291,28163,36042,-7879,926,4460,-3534,35699,44821,-9122
2008-05-14,7297,4461,2836,28138,36250,-8112,1026,4002,-2976,36461,44713,-8252
2008-05-15,9402,4509,4893,31287,38837,-7550,977,3848,-2871,41666,47194,-5528
2008-05-16,8968,4579,4389,31883,40543,-8660,1268,3567,-2299,42119,48689,-6570
2008-05-19,10532,5071,5461,30367,42904,-12537,1257,3800,-2543,42156,51775,-9619
2008-05-20,5114,5460,-346,34277,51290,-17013,1351,4550,-3199,40742,61300,-20558
2008-05-21,4856,5851,-995,32623,49851,-17228,746,4536,-3790,38225,60238,-22013
2008-05-22,3234,5414,-2180,23909,37654,-13745,714,4185,-3471,27857,47253,-19396
2008-05-23,2924,7548,-4624,22548,37485,-14937,793,4542,-3749,26265,49575,-23310
2008-05-26,3068,8322,-5254,21473,37100,-15627,801,4541,-3740,25342,49963,-24621
2008-05-27,4028,8679,-4651,21297,37208,-15911,897,4150,-3253,26222,50037,-23815
2008-05-28,3454,9373,-5919,20450,33669,-13219,981,5501,-4520,24885,48543,-23658
2008-05-29,3955,8739,-4784,20333,33014,-12681,970,5610,-4640,25258,47363,-22105
2008-05-30,4168,10045,-5877,22148,32917,-10769,976,6461,-5485,27292,49423,-22131
2008-06-02,4974,9762,-4788,22214,32785,-10571,983,6452,-5469,28171,48999,-20828
2008-06-03,4358,11444,-7086,21913,32425,-10512,983,6406,-5423,27254,50275,-23021
2008-06-04,4696,11666,-6970,23208,32763,-9555,957,6081,-5124,28861,50510,-21649
2008-06-05,5296,10470,-5174,22776,31508,-8732,927,5480,-4553,28999,47458,-18459
2008-06-06,5300,10119,-4819,23582,31478,-7896,983,6250,-5267,29865,47847,-17982
2008-06-09,3259,11559,-8300,23383,30797,-7414,1035,6342,-5307,27677,48698,-21021
2008-06-10,2527,12483,-9956,22631,27330,-4699,977,6752,-5775,26135,46565,-20430
2008-06-11,2195,13366,-11171,23861,26854,-2993,1040,6579,-5539,27096,46799,-19703
2008-06-12,2654,14408,-11754,25212,27769,-2557,1044,6838,-5794,28910,49015,-20105
2008-06-13,2316,14926,-12610,26693,25868,825,914,6474,-5560,29923,47268,-17345
2008-06-16,2155,13199,-11044,29416,27113,2303,895,6269,-5374,32466,46581,-14115
2008-06-17,2309,13238,-10929,36287,34386,1901,975,6804,-5829,39571,54428,-14857
2008-06-18,2516,15087,-12571,37802,32578,5224,923,6421,-5498,41241,54086,-12845
2008-06-19,1492,7918,-6426,20578,23867,-3289,664,7069,-6405,22734,38854,-16120
2008-06-20,1564,8222,-6658,20991,23283,-2292,627,7214,-6587,23182,38719,-15537
2008-06-23,2257,8950,-6693,20852,23797,-2945,498,6398,-5900,23607,39145,-15538
2008-06-24,2594,9278,-6684,21937,24250,-2313,580,7181,-6601,25111,40709,-15598
2008-06-25,3497,8585,-5088,22241,27695,-5454,703,6788,-6085,26441,43068,-16627
2008-06-26,3249,8944,-5695,22571,26316,-3745,588,5997,-5409,26408,41257,-14849
2008-06-27,3374,11149,-7775,25714,24521,1193,552,6269,-5717,29640,41939,-12299
2008-06-30,3047,10829,-7782,25665,26348,-683,702,6524,-5822,29414,43701,-14287
2008-07-01,2369,11773,-9404,26524,29541,-3017,937,6435,-5498,29830,47749,-17919
2008-07-02,2401,11148,-8747,25326,30390,-5064,1028,6497,-5469,28755,48035,-19280
2008-07-03,3099,11489,-8390,25746,30209,-4463,897,6226,-5329,29742,47924,-18182
2008-07-04,2484,11983,-9499,25633,28131,-2498,903,6192,-5289,29020,46306,-17286
2008-07-07,3715,11513,-7798,26703,27833,-1130,945,6577,-5632,31363,45923,-14560
2008-07-08,2934,16208,-13274,28871,23451,5420,933,6510,-5577,32738,46169,-13431
2008-07-09,2685,16092,-13407,29602,24209,5393,1015,6655,-5640,33302,46956,-13654
2008-07-10,2092,17045,-14953,29888,23727,6161,1019,6555,-5536,32999,47327,-14328
2008-07-11,3033,15983,-12950,30012,25703,4309,1710,5598,-3888,34755,47284,-12529
2008-07-14,2708,12600,-9892,30882,33803,-2921,2231,5529,-3298,35821,51932,-16111
2008-07-15,2216,13158,-10942,41407,42187,-780,2892,5918,-3026,46515,61263,-14748
2008-07-16,2385,17675,-15290,50870,48996,1874,2198,6250,-4052,55453,72921,-17468
2008-07-17,3390,8083,-4693,26891,29629,-2738,2920,6149,-3229,33201,43861,-10660
2008-07-18,2896,9725,-6829,27635,26067,1568,2951,6617,-3666,33482,42409,-8927
2008-07-21,3668,8171,-4503,28841,28976,-135,2573,6191,-3618,35082,43338,-8256
2008-07-22,3940,8539,-4599,27886,29201,-1315,2482,5977,-3495,34308,43717,-9409
2008-07-23,5061,7015,-1954,25885,30244,-4359,2618,5396,-2778,33564,42655,-9091
2008-07-24,6468,6735,-267,25187,27438,-2251,2919,5221,-2302,34574,39394,-4820
2008-07-25,5401,7546,-2145,24609,28512,-3903,2792,5613,-2821,32802,41671,-8869
2008-07-29,3398,8635,-5237,25392,26966,-1574,2608,6125,-3517,31398,41726,-10328
2008-07-30,2931,7191,-4260,25834,26675,-841,2311,5927,-3616,31076,39793,-8717
2008-07-31,2476,8464,-5988,29245,27260,1985,2192,6409,-4217,33913,42133,-8220
2008-08-01,2496,8617,-6121,28425,28542,-117,2197,6250,-4053,33118,43409,-10291
2008-08-04,2751,8399,-5648,27654,27647,7,2364,6712,-4348,32769,42758,-9989
2008-08-05,2189,9279,-7090,27810,30404,-2594,2430,7007,-4577,32429,46690,-14261
2008-08-06,3082,8669,-5587,27601,29416,-1815,2413,6705,-4292,33096,44790,-11694
2008-08-07,3007,8757,-5750,28060,29799,-1739,2815,6332,-3517,33882,44888,-11006
2008-08-08,4080,8257,-4177,26316,29471,-3155,2809,5312,-2503,33205,43040,-9835
2008-08-11,3908,8369,-4461,25901,27390,-1489,3017,5129,-2112,32826,40888,-8062
2008-08-12,4260,8507,-4247,25133,27284,-2151,2898,4971,-2073,32291,40762,-8471
2008-08-13,4644,8551,-3907,23739,29058,-5319,2753,4720,-1967,31136,42329,-11193
2008-08-14,4934,7878,-2944,24002,29856,-5854,2835,4834,-1999,31771,42568,-10797
2008-08-15,2455,8444,-5989,23587,29195,-5608,2713,4868,-2155,28755,42507,-13752
2008-08-18,1536,9114,-7578,22372,27453,-5081,2827,5911,-3084,26735,42478,-15743
2008-08-19,2280,10724,-8444,29128,29814,-686,2850,6553,-3703,34258,47091,-12833
2008-08-20,2105,9988,-7883,30668,30085,583,2777,6962,-4185,35550,47035,-11485
2008-08-21,1541,9163,-7622,22151,20058,2093,2920,7020,-4100,26612,36241,-9629
2008-08-22,1387,9230,-7843,22641,20659,1982,3039,9040,-6001,27067,38929,-11862
2008-08-25,1810,8561,-6751,22839,20838,2001,2834,8628,-5794,27483,38027,-10544
2008-08-26,1214,8343,-7129,23296,20828,2468,2797,8789,-5992,27307,37960,-10653
2008-08-27,1386,6813,-5427,21995,21225,770,2821,8583,-5762,26202,36621,-10419
2008-08-28,1191,7042,-5851,21412,22261,-849,2816,8642,-5826,25419,37945,-12526
2008-08-29,1774,6720,-4946,21201,21861,-660,2563,9005,-6442,25538,37586,-12048
2008-09-01,1540,9008,-7468,22389,23476,-1087,2647,9376,-6729,26576,41860,-15284
2008-09-02,1505,9766,-8261,25181,22454,2727,2657,11741,-9084,29343,43961,-14618
2008-09-03,1077,9869,-8792,25732,22875,2857,2493,11903,-9410,29302,44647,-15345
2008-09-04,1719,9009,-7290,23921,22777,1144,2483,12277,-9794,28123,44063,-15940
2008-09-05,2277,10860,-8583,26464,23495,2969,2493,12132,-9639,31234,46487,-15253
2008-09-08,3659,7813,-4154,29462,25146,4316,2477,11782,-9305,35598,44741,-9143
2008-09-09,2996,10189,-7193,29063,21706,7357,2592,11654,-9062,34651,43549,-8898
2008-09-10,2544,8577,-6033,27803,25188,2615,2652,11534,-8882,32999,45299,-12300
2008-09-11,3393,11212,-7819,28744,21531,7213,2657,10550,-7893,34794,43293,-8499
2008-09-12,2978,10697,-7719,29485,21347,8138,2632,11413,-8781,35095,43457,-8362
2008-09-15,2814,12297,-9483,30933,19424,11509,2866,10057,-7191,36613,41778,-5165
2008-09-16,3016,17081,-14065,41438,26144,15294,2688,7831,-5143,47142,51056,-3914
2008-09-17,3697,17763,-14066,43102,26370,16732,2667,9011,-6344,49466,53144,-3678
2008-09-18,4551,8323,-3772,22715,19322,3393,2656,9816,-7160,29922,37461,-7539
2008-09-19,6571,6868,-297,25359,20296,5063,2376,10126,-7750,34306,37290,-2984
2008-09-22,5917,8015,-2098,28608,19483,9125,2256,8209,-5953,36781,35707,1074
