,name,coeff
5,twf_vol_deg_change,0.023531035662190777
6,twf_vol_percentile,0.09978049810312795
7,twf_body,-0.010653034746710971
8,twf_upper_shadow,0.12506726359630102
10,twf_basis,-0.7112451581247515
11,twf_until_expiration,0.003056820537851321
17,naq_vol_deg_change,-0.004929056026835116
18,naq_vol_percentile,0.008184160320468203
20,naq_upper_shadow,-0.028176834111839032
21,naq_lower_shadow,0.1265048489590877
27,sp500_vol_deg_change,-0.04364996292330248
28,sp500_vol_percentile,-0.0012919944508736118
31,sp500_lower_shadow,-0.1745941577523565
32,phlx_log_rtn,4.45625937919532
35,phlx_norm_l,0.667146929147193
38,phlx_upper_shadow,0.03285132768053333
39,phlx_lower_shadow,-0.006603304773823037
45,sha_vol_deg_change,-0.05130874093242778
46,sha_vol_percentile,-0.010168584715914983
48,sha_upper_shadow,-0.014422317108508767
49,sha_lower_shadow,0.00844526000855403
55,hsi_vol_deg_change,0.016247531918299998
56,hsi_vol_percentile,0.028603248259283922
59,hsi_lower_shadow,0.07185742700737757
65,nik_vol_deg_change,-7.234260174223387e-05
66,nik_vol_percentile,1.8716525317675432e-05
67,nik_body,0.024377363735633678